dataset	estimator	fit_score_time	fit_score_time_rank	fit_score_time_victories	fit_time	fit_time_rank	fit_time_victories	score_time	score_time_rank	score_time_victories	test_accuracy	test_accuracy_rank	test_accuracy_victories	test_f1_macro	test_f1_macro_rank	test_f1_macro_victories	test_f1_micro	test_f1_micro_rank	test_f1_micro_victories	test_f1_samples	test_f1_samples_rank	test_f1_samples_victories	test_f1_weighted	test_f1_weighted_rank	test_f1_weighted_victories	test_jaccard_macro	test_jaccard_macro_rank	test_jaccard_macro_victories	test_jaccard_micro	test_jaccard_micro_rank	test_jaccard_micro_victories	test_jaccard_samples	test_jaccard_samples_rank	test_jaccard_samples_victories	test_jaccard_weighted	test_jaccard_weighted_rank	test_jaccard_weighted_victories	test_precision_macro	test_precision_macro_rank	test_precision_macro_victories	test_precision_micro	test_precision_micro_rank	test_precision_micro_victories	test_precision_samples	test_precision_samples_rank	test_precision_samples_victories	test_precision_weighted	test_precision_weighted_rank	test_precision_weighted_victories	test_recall_macro	test_recall_macro_rank	test_recall_macro_victories	test_recall_micro	test_recall_micro_rank	test_recall_micro_victories	test_recall_samples	test_recall_samples_rank	test_recall_samples_victories	test_recall_weighted	test_recall_weighted_rank	test_recall_weighted_victories
genbase	embedding_proba__10	38.29 (0.7)	1.0 (0.0)	1.0 (0.0)	32.85 (0.62)	1.0 (0.0)	1.0 (0.0)	5.44 (0.26)	1.0 (0.0)	1.0 (0.0)	0.91 (0.03)	0.21 (0.12)	0.0 (0.0)	0.9 (0.04)	0.32 (0.24)	0.0 (0.0)	0.96 (0.01)	0.24 (0.13)	0.0 (0.0)	0.94 (0.01)	0.21 (0.09)	0.0 (0.0)	0.95 (0.02)	0.28 (0.25)	0.0 (0.0)	0.86 (0.05)	0.32 (0.23)	0.0 (0.0)	0.92 (0.03)	0.24 (0.13)	0.0 (0.0)	0.94 (0.01)	0.19 (0.1)	0.0 (0.0)	0.92 (0.03)	0.24 (0.13)	0.0 (0.0)	0.98 (0.03)	0.56 (0.26)	0.0 (0.0)	1.0 (0.0)	0.54 (0.25)	0.0 (0.0)	0.96 (0.01)	0.26 (0.16)	0.0 (0.0)	0.99 (0.01)	0.55 (0.28)	0.0 (0.0)	0.86 (0.05)	0.32 (0.23)	0.0 (0.0)	0.92 (0.03)	0.27 (0.19)	0.0 (0.0)	0.94 (0.01)	0.21 (0.11)	0.0 (0.0)	0.92 (0.03)	0.27 (0.19)	0.0 (0.0)
genbase	embedding_proba__2	9.46 (0.25)	0.2 (0.0)	0.0 (0.0)	8.07 (0.29)	0.2 (0.0)	0.0 (0.0)	1.39 (0.06)	0.2 (0.0)	0.0 (0.0)	0.96 (0.02)	0.7 (0.3)	0.2 (0.45)	0.95 (0.03)	0.7 (0.29)	0.2 (0.45)	0.98 (0.01)	0.75 (0.23)	0.2 (0.45)	0.97 (0.01)	0.68 (0.2)	0.0 (0.0)	0.98 (0.01)	0.74 (0.23)	0.2 (0.45)	0.93 (0.04)	0.72 (0.26)	0.2 (0.45)	0.96 (0.02)	0.75 (0.23)	0.2 (0.45)	0.97 (0.01)	0.71 (0.26)	0.2 (0.45)	0.96 (0.02)	0.75 (0.23)	0.2 (0.45)	0.98 (0.04)	0.62 (0.29)	0.0 (0.0)	1.0 (0.0)	0.56 (0.2)	0.0 (0.0)	0.98 (0.01)	0.63 (0.23)	0.0 (0.0)	1.0 (0.01)	0.62 (0.29)	0.0 (0.0)	0.93 (0.03)	0.72 (0.26)	0.2 (0.45)	0.96 (0.01)	0.75 (0.23)	0.2 (0.45)	0.97 (0.01)	0.73 (0.25)	0.2 (0.45)	0.96 (0.01)	0.75 (0.23)	0.2 (0.45)
genbase	embedding_proba__3	13.52 (0.61)	0.3 (0.0)	0.0 (0.0)	11.51 (0.58)	0.3 (0.0)	0.0 (0.0)	2.01 (0.05)	0.3 (0.0)	0.0 (0.0)	0.96 (0.02)	0.74 (0.23)	0.2 (0.45)	0.96 (0.03)	0.72 (0.24)	0.2 (0.45)	0.98 (0.01)	0.75 (0.21)	0.2 (0.45)	0.97 (0.01)	0.76 (0.26)	0.2 (0.45)	0.98 (0.01)	0.76 (0.19)	0.2 (0.45)	0.94 (0.04)	0.74 (0.23)	0.2 (0.45)	0.96 (0.02)	0.75 (0.21)	0.2 (0.45)	0.97 (0.01)	0.75 (0.25)	0.2 (0.45)	0.97 (0.02)	0.77 (0.19)	0.2 (0.45)	0.98 (0.03)	0.55 (0.28)	0.0 (0.0)	1.0 (0.0)	0.54 (0.25)	0.0 (0.0)	0.98 (0.01)	0.69 (0.23)	0.0 (0.0)	1.0 (0.01)	0.57 (0.25)	0.0 (0.0)	0.94 (0.04)	0.76 (0.23)	0.2 (0.45)	0.97 (0.02)	0.77 (0.19)	0.2 (0.45)	0.97 (0.01)	0.75 (0.25)	0.2 (0.45)	0.97 (0.02)	0.77 (0.19)	0.2 (0.45)
genbase	embedding_proba__4	17.29 (0.36)	0.4 (0.0)	0.0 (0.0)	14.86 (0.41)	0.4 (0.0)	0.0 (0.0)	2.42 (0.05)	0.4 (0.0)	0.0 (0.0)	0.95 (0.01)	0.71 (0.19)	0.0 (0.0)	0.95 (0.03)	0.64 (0.3)	0.2 (0.45)	0.98 (0.01)	0.68 (0.23)	0.0 (0.0)	0.97 (0.01)	0.66 (0.23)	0.2 (0.45)	0.97 (0.01)	0.68 (0.22)	0.0 (0.0)	0.92 (0.03)	0.64 (0.24)	0.0 (0.0)	0.96 (0.02)	0.68 (0.23)	0.0 (0.0)	0.97 (0.01)	0.68 (0.18)	0.0 (0.0)	0.96 (0.02)	0.68 (0.23)	0.0 (0.0)	0.98 (0.03)	0.56 (0.22)	0.0 (0.0)	1.0 (0.0)	0.55 (0.25)	0.0 (0.0)	0.98 (0.01)	0.68 (0.24)	0.2 (0.45)	1.0 (0.01)	0.57 (0.2)	0.0 (0.0)	0.92 (0.03)	0.64 (0.24)	0.0 (0.0)	0.96 (0.02)	0.64 (0.25)	0.0 (0.0)	0.97 (0.01)	0.66 (0.18)	0.0 (0.0)	0.96 (0.02)	0.64 (0.25)	0.0 (0.0)
genbase	embedding_proba__5	20.63 (0.57)	0.5 (0.0)	0.0 (0.0)	17.59 (0.56)	0.5 (0.0)	0.0 (0.0)	3.05 (0.09)	0.5 (0.0)	0.0 (0.0)	0.95 (0.02)	0.64 (0.19)	0.0 (0.0)	0.95 (0.02)	0.62 (0.15)	0.0 (0.0)	0.98 (0.01)	0.61 (0.24)	0.0 (0.0)	0.97 (0.01)	0.7 (0.28)	0.2 (0.45)	0.97 (0.01)	0.6 (0.23)	0.0 (0.0)	0.92 (0.02)	0.6 (0.12)	0.0 (0.0)	0.95 (0.02)	0.61 (0.24)	0.0 (0.0)	0.96 (0.01)	0.65 (0.23)	0.0 (0.0)	0.95 (0.02)	0.62 (0.25)	0.0 (0.0)	0.98 (0.03)	0.54 (0.29)	0.0 (0.0)	1.0 (0.0)	0.56 (0.2)	0.0 (0.0)	0.98 (0.01)	0.67 (0.26)	0.0 (0.0)	0.99 (0.01)	0.51 (0.33)	0.0 (0.0)	0.92 (0.02)	0.6 (0.12)	0.0 (0.0)	0.95 (0.02)	0.62 (0.25)	0.0 (0.0)	0.97 (0.01)	0.65 (0.23)	0.0 (0.0)	0.95 (0.02)	0.62 (0.25)	0.0 (0.0)
genbase	embedding_proba__6	23.14 (0.76)	0.6 (0.0)	0.0 (0.0)	19.68 (0.85)	0.6 (0.0)	0.0 (0.0)	3.47 (0.1)	0.6 (0.0)	0.0 (0.0)	0.95 (0.03)	0.69 (0.32)	0.2 (0.45)	0.94 (0.05)	0.64 (0.34)	0.0 (0.0)	0.98 (0.02)	0.66 (0.32)	0.2 (0.45)	0.97 (0.02)	0.62 (0.33)	0.2 (0.45)	0.97 (0.03)	0.68 (0.33)	0.2 (0.45)	0.91 (0.07)	0.66 (0.36)	0.2 (0.45)	0.95 (0.04)	0.66 (0.32)	0.2 (0.45)	0.96 (0.03)	0.66 (0.31)	0.2 (0.45)	0.95 (0.04)	0.66 (0.32)	0.2 (0.45)	0.98 (0.03)	0.57 (0.23)	0.0 (0.0)	1.0 (0.0)	0.57 (0.15)	0.0 (0.0)	0.97 (0.02)	0.56 (0.32)	0.2 (0.45)	0.99 (0.01)	0.57 (0.2)	0.0 (0.0)	0.91 (0.07)	0.68 (0.36)	0.2 (0.45)	0.95 (0.04)	0.66 (0.32)	0.2 (0.45)	0.96 (0.03)	0.68 (0.31)	0.2 (0.45)	0.95 (0.04)	0.66 (0.32)	0.2 (0.45)
genbase	embedding_proba__7	28.18 (0.56)	0.7 (0.0)	0.0 (0.0)	24.38 (0.63)	0.7 (0.0)	0.0 (0.0)	3.8 (0.07)	0.7 (0.0)	0.0 (0.0)	0.94 (0.02)	0.35 (0.24)	0.0 (0.0)	0.92 (0.04)	0.44 (0.29)	0.0 (0.0)	0.97 (0.01)	0.39 (0.26)	0.0 (0.0)	0.96 (0.01)	0.3 (0.2)	0.0 (0.0)	0.96 (0.02)	0.36 (0.25)	0.0 (0.0)	0.88 (0.05)	0.44 (0.29)	0.0 (0.0)	0.93 (0.03)	0.39 (0.26)	0.0 (0.0)	0.95 (0.01)	0.32 (0.23)	0.0 (0.0)	0.93 (0.03)	0.34 (0.23)	0.0 (0.0)	0.98 (0.04)	0.61 (0.29)	0.0 (0.0)	1.0 (0.0)	0.56 (0.2)	0.0 (0.0)	0.96 (0.01)	0.35 (0.19)	0.0 (0.0)	0.99 (0.01)	0.61 (0.29)	0.0 (0.0)	0.88 (0.05)	0.4 (0.24)	0.0 (0.0)	0.93 (0.03)	0.36 (0.21)	0.0 (0.0)	0.95 (0.01)	0.32 (0.23)	0.0 (0.0)	0.93 (0.03)	0.36 (0.21)	0.0 (0.0)
genbase	embedding_proba__8	31.05 (0.38)	0.8 (0.0)	0.0 (0.0)	26.67 (0.45)	0.8 (0.0)	0.0 (0.0)	4.39 (0.08)	0.8 (0.0)	0.0 (0.0)	0.93 (0.02)	0.41 (0.21)	0.0 (0.0)	0.91 (0.04)	0.36 (0.28)	0.0 (0.0)	0.97 (0.01)	0.42 (0.22)	0.0 (0.0)	0.96 (0.02)	0.58 (0.33)	0.0 (0.0)	0.96 (0.01)	0.34 (0.18)	0.0 (0.0)	0.88 (0.04)	0.36 (0.23)	0.0 (0.0)	0.93 (0.02)	0.42 (0.22)	0.0 (0.0)	0.95 (0.02)	0.49 (0.3)	0.0 (0.0)	0.94 (0.02)	0.42 (0.22)	0.0 (0.0)	0.95 (0.04)	0.38 (0.34)	0.0 (0.0)	1.0 (0.0)	0.53 (0.24)	0.0 (0.0)	0.97 (0.02)	0.61 (0.39)	0.2 (0.45)	0.99 (0.01)	0.38 (0.34)	0.0 (0.0)	0.88 (0.04)	0.36 (0.23)	0.0 (0.0)	0.94 (0.02)	0.41 (0.21)	0.0 (0.0)	0.95 (0.02)	0.49 (0.3)	0.0 (0.0)	0.94 (0.02)	0.41 (0.21)	0.0 (0.0)
genbase	embedding_proba__9	34.69 (0.77)	0.9 (0.0)	0.0 (0.0)	29.88 (0.74)	0.9 (0.0)	0.0 (0.0)	4.81 (0.11)	0.9 (0.0)	0.0 (0.0)	0.93 (0.01)	0.31 (0.17)	0.0 (0.0)	0.9 (0.01)	0.28 (0.08)	0.0 (0.0)	0.96 (0.01)	0.26 (0.19)	0.0 (0.0)	0.96 (0.01)	0.4 (0.28)	0.0 (0.0)	0.95 (0.01)	0.28 (0.13)	0.0 (0.0)	0.86 (0.02)	0.22 (0.08)	0.0 (0.0)	0.93 (0.02)	0.26 (0.19)	0.0 (0.0)	0.95 (0.01)	0.38 (0.22)	0.0 (0.0)	0.93 (0.02)	0.28 (0.18)	0.0 (0.0)	0.97 (0.04)	0.45 (0.24)	0.0 (0.0)	1.0 (0.0)	0.54 (0.25)	0.0 (0.0)	0.98 (0.02)	0.51 (0.36)	0.2 (0.45)	0.99 (0.01)	0.44 (0.25)	0.0 (0.0)	0.86 (0.02)	0.22 (0.08)	0.0 (0.0)	0.93 (0.02)	0.26 (0.19)	0.0 (0.0)	0.95 (0.01)	0.34 (0.22)	0.0 (0.0)	0.93 (0.02)	0.26 (0.19)	0.0 (0.0)
medical	embedding_proba__1	8.08 (0.36)	0.1 (0.0)	0.0 (0.0)	6.95 (0.35)	0.1 (0.0)	0.0 (0.0)	1.13 (0.01)	0.1 (0.0)	0.0 (0.0)	0.49 (0.03)	0.4 (0.21)	0.0 (0.0)	0.38 (0.02)	0.5 (0.28)	0.0 (0.0)	0.65 (0.03)	0.4 (0.28)	0.0 (0.0)	0.51 (0.03)	0.39 (0.21)	0.0 (0.0)	0.59 (0.02)	0.36 (0.18)	0.0 (0.0)	0.29 (0.03)	0.46 (0.21)	0.0 (0.0)	0.48 (0.03)	0.4 (0.28)	0.0 (0.0)	0.49 (0.03)	0.44 (0.23)	0.0 (0.0)	0.47 (0.03)	0.42 (0.26)	0.0 (0.0)	0.61 (0.03)	0.78 (0.19)	0.2 (0.45)	0.91 (0.02)	0.72 (0.26)	0.2 (0.45)	0.53 (0.03)	0.37 (0.2)	0.0 (0.0)	0.8 (0.02)	0.76 (0.29)	0.4 (0.55)	0.3 (0.03)	0.42 (0.23)	0.0 (0.0)	0.51 (0.03)	0.32 (0.18)	0.0 (0.0)	0.5 (0.03)	0.42 (0.2)	0.0 (0.0)	0.51 (0.03)	0.32 (0.18)	0.0 (0.0)
medical	embedding_proba__10	66.91 (1.62)	1.0 (0.0)	1.0 (0.0)	60.45 (1.66)	1.0 (0.0)	1.0 (0.0)	6.46 (0.13)	1.0 (0.0)	1.0 (0.0)	0.51 (0.04)	0.58 (0.35)	0.2 (0.45)	0.39 (0.06)	0.58 (0.43)	0.4 (0.55)	0.66 (0.02)	0.54 (0.25)	0.0 (0.0)	0.53 (0.03)	0.58 (0.29)	0.0 (0.0)	0.6 (0.03)	0.48 (0.34)	0.2 (0.45)	0.31 (0.05)	0.62 (0.44)	0.4 (0.55)	0.49 (0.03)	0.54 (0.25)	0.0 (0.0)	0.52 (0.04)	0.6 (0.32)	0.0 (0.0)	0.49 (0.03)	0.48 (0.24)	0.0 (0.0)	0.55 (0.09)	0.48 (0.4)	0.2 (0.45)	0.88 (0.02)	0.38 (0.2)	0.0 (0.0)	0.56 (0.03)	0.59 (0.26)	0.0 (0.0)	0.75 (0.05)	0.4 (0.31)	0.0 (0.0)	0.32 (0.05)	0.64 (0.45)	0.4 (0.55)	0.53 (0.03)	0.52 (0.33)	0.2 (0.45)	0.52 (0.04)	0.64 (0.32)	0.0 (0.0)	0.53 (0.03)	0.52 (0.33)	0.2 (0.45)
medical	embedding_proba__2	14.57 (0.79)	0.2 (0.0)	0.0 (0.0)	12.83 (0.79)	0.2 (0.0)	0.0 (0.0)	1.74 (0.02)	0.2 (0.0)	0.0 (0.0)	0.5 (0.02)	0.58 (0.28)	0.0 (0.0)	0.39 (0.04)	0.54 (0.3)	0.0 (0.0)	0.67 (0.02)	0.56 (0.25)	0.0 (0.0)	0.53 (0.03)	0.5 (0.37)	0.0 (0.0)	0.61 (0.02)	0.54 (0.27)	0.0 (0.0)	0.3 (0.03)	0.5 (0.25)	0.0 (0.0)	0.5 (0.02)	0.56 (0.25)	0.0 (0.0)	0.51 (0.02)	0.46 (0.34)	0.0 (0.0)	0.49 (0.02)	0.52 (0.29)	0.0 (0.0)	0.59 (0.06)	0.58 (0.37)	0.2 (0.45)	0.91 (0.03)	0.68 (0.26)	0.2 (0.45)	0.55 (0.03)	0.46 (0.36)	0.0 (0.0)	0.79 (0.03)	0.74 (0.27)	0.2 (0.45)	0.31 (0.04)	0.5 (0.25)	0.0 (0.0)	0.53 (0.02)	0.48 (0.26)	0.0 (0.0)	0.52 (0.03)	0.46 (0.33)	0.0 (0.0)	0.53 (0.02)	0.48 (0.26)	0.0 (0.0)
medical	embedding_proba__3	22.1 (0.44)	0.3 (0.0)	0.0 (0.0)	19.79 (0.48)	0.3 (0.0)	0.0 (0.0)	2.3 (0.05)	0.3 (0.0)	0.0 (0.0)	0.5 (0.04)	0.44 (0.34)	0.2 (0.45)	0.38 (0.04)	0.54 (0.32)	0.0 (0.0)	0.66 (0.05)	0.45 (0.37)	0.2 (0.45)	0.52 (0.06)	0.42 (0.36)	0.2 (0.45)	0.61 (0.04)	0.46 (0.36)	0.2 (0.45)	0.29 (0.04)	0.5 (0.31)	0.0 (0.0)	0.5 (0.06)	0.45 (0.37)	0.2 (0.45)	0.51 (0.06)	0.44 (0.35)	0.2 (0.45)	0.49 (0.06)	0.46 (0.38)	0.2 (0.45)	0.57 (0.04)	0.58 (0.29)	0.0 (0.0)	0.9 (0.02)	0.65 (0.22)	0.0 (0.0)	0.55 (0.06)	0.48 (0.39)	0.2 (0.45)	0.78 (0.02)	0.6 (0.29)	0.0 (0.0)	0.31 (0.04)	0.5 (0.29)	0.0 (0.0)	0.53 (0.06)	0.45 (0.38)	0.2 (0.45)	0.51 (0.06)	0.4 (0.37)	0.2 (0.45)	0.53 (0.06)	0.45 (0.38)	0.2 (0.45)
medical	embedding_proba__4	29.05 (0.62)	0.4 (0.0)	0.0 (0.0)	26.13 (0.57)	0.4 (0.0)	0.0 (0.0)	2.92 (0.08)	0.4 (0.0)	0.0 (0.0)	0.52 (0.04)	0.66 (0.35)	0.2 (0.45)	0.4 (0.04)	0.46 (0.33)	0.2 (0.45)	0.68 (0.03)	0.72 (0.28)	0.2 (0.45)	0.54 (0.03)	0.66 (0.3)	0.2 (0.45)	0.62 (0.03)	0.7 (0.29)	0.2 (0.45)	0.31 (0.03)	0.46 (0.36)	0.2 (0.45)	0.52 (0.03)	0.72 (0.28)	0.2 (0.45)	0.53 (0.03)	0.64 (0.34)	0.2 (0.45)	0.51 (0.03)	0.7 (0.29)	0.2 (0.45)	0.58 (0.05)	0.52 (0.29)	0.2 (0.45)	0.91 (0.03)	0.74 (0.27)	0.2 (0.45)	0.57 (0.03)	0.64 (0.29)	0.2 (0.45)	0.79 (0.04)	0.66 (0.31)	0.2 (0.45)	0.33 (0.03)	0.48 (0.37)	0.2 (0.45)	0.55 (0.02)	0.68 (0.31)	0.2 (0.45)	0.53 (0.03)	0.64 (0.33)	0.2 (0.45)	0.55 (0.02)	0.68 (0.31)	0.2 (0.45)
medical	embedding_proba__5	34.84 (0.9)	0.5 (0.0)	0.0 (0.0)	31.23 (0.96)	0.5 (0.0)	0.0 (0.0)	3.61 (0.11)	0.5 (0.0)	0.0 (0.0)	0.52 (0.05)	0.68 (0.37)	0.2 (0.45)	0.39 (0.04)	0.52 (0.39)	0.0 (0.0)	0.68 (0.03)	0.66 (0.39)	0.2 (0.45)	0.55 (0.03)	0.72 (0.36)	0.4 (0.55)	0.62 (0.03)	0.66 (0.39)	0.2 (0.45)	0.31 (0.03)	0.58 (0.36)	0.0 (0.0)	0.52 (0.03)	0.66 (0.39)	0.2 (0.45)	0.53 (0.03)	0.72 (0.36)	0.4 (0.55)	0.51 (0.03)	0.7 (0.37)	0.2 (0.45)	0.55 (0.07)	0.48 (0.33)	0.0 (0.0)	0.89 (0.02)	0.56 (0.23)	0.0 (0.0)	0.57 (0.03)	0.68 (0.36)	0.2 (0.45)	0.76 (0.04)	0.44 (0.3)	0.0 (0.0)	0.32 (0.03)	0.58 (0.36)	0.0 (0.0)	0.55 (0.03)	0.72 (0.38)	0.4 (0.55)	0.54 (0.03)	0.72 (0.36)	0.4 (0.55)	0.55 (0.03)	0.72 (0.38)	0.4 (0.55)
medical	embedding_proba__6	41.88 (1.28)	0.6 (0.0)	0.0 (0.0)	37.76 (1.32)	0.6 (0.0)	0.0 (0.0)	4.12 (0.06)	0.6 (0.0)	0.0 (0.0)	0.5 (0.04)	0.56 (0.34)	0.0 (0.0)	0.39 (0.02)	0.48 (0.19)	0.0 (0.0)	0.67 (0.03)	0.58 (0.38)	0.2 (0.45)	0.53 (0.04)	0.62 (0.39)	0.0 (0.0)	0.61 (0.03)	0.66 (0.3)	0.2 (0.45)	0.3 (0.02)	0.52 (0.29)	0.0 (0.0)	0.5 (0.04)	0.58 (0.38)	0.2 (0.45)	0.52 (0.04)	0.6 (0.37)	0.0 (0.0)	0.5 (0.04)	0.54 (0.4)	0.2 (0.45)	0.59 (0.03)	0.64 (0.28)	0.0 (0.0)	0.89 (0.03)	0.44 (0.47)	0.2 (0.45)	0.56 (0.04)	0.58 (0.44)	0.2 (0.45)	0.78 (0.02)	0.56 (0.3)	0.2 (0.45)	0.32 (0.02)	0.48 (0.2)	0.0 (0.0)	0.53 (0.03)	0.64 (0.28)	0.0 (0.0)	0.52 (0.03)	0.6 (0.37)	0.0 (0.0)	0.53 (0.03)	0.64 (0.28)	0.0 (0.0)
medical	embedding_proba__7	47.42 (1.62)	0.7 (0.0)	0.0 (0.0)	42.72 (1.77)	0.7 (0.0)	0.0 (0.0)	4.7 (0.17)	0.7 (0.0)	0.0 (0.0)	0.51 (0.02)	0.55 (0.23)	0.0 (0.0)	0.41 (0.01)	0.72 (0.16)	0.2 (0.45)	0.66 (0.01)	0.51 (0.26)	0.0 (0.0)	0.53 (0.01)	0.44 (0.18)	0.0 (0.0)	0.61 (0.02)	0.62 (0.25)	0.0 (0.0)	0.32 (0.0)	0.66 (0.13)	0.0 (0.0)	0.5 (0.02)	0.51 (0.26)	0.0 (0.0)	0.51 (0.01)	0.44 (0.15)	0.0 (0.0)	0.49 (0.02)	0.58 (0.23)	0.0 (0.0)	0.57 (0.05)	0.46 (0.3)	0.2 (0.45)	0.89 (0.02)	0.47 (0.27)	0.0 (0.0)	0.55 (0.01)	0.47 (0.18)	0.0 (0.0)	0.77 (0.03)	0.44 (0.28)	0.0 (0.0)	0.33 (0.01)	0.72 (0.18)	0.0 (0.0)	0.53 (0.02)	0.53 (0.26)	0.0 (0.0)	0.52 (0.01)	0.48 (0.16)	0.0 (0.0)	0.53 (0.02)	0.53 (0.26)	0.0 (0.0)
medical	embedding_proba__8	54.61 (1.87)	0.8 (0.0)	0.0 (0.0)	49.18 (2.13)	0.8 (0.0)	0.0 (0.0)	5.43 (0.35)	0.82 (0.04)	0.0 (0.0)	0.51 (0.02)	0.58 (0.22)	0.0 (0.0)	0.4 (0.03)	0.7 (0.29)	0.2 (0.45)	0.67 (0.02)	0.62 (0.29)	0.2 (0.45)	0.54 (0.02)	0.63 (0.26)	0.2 (0.45)	0.62 (0.01)	0.62 (0.26)	0.0 (0.0)	0.31 (0.03)	0.66 (0.3)	0.2 (0.45)	0.51 (0.02)	0.62 (0.29)	0.2 (0.45)	0.52 (0.02)	0.66 (0.24)	0.2 (0.45)	0.5 (0.02)	0.6 (0.29)	0.2 (0.45)	0.59 (0.01)	0.64 (0.15)	0.0 (0.0)	0.89 (0.03)	0.5 (0.35)	0.2 (0.45)	0.56 (0.03)	0.65 (0.27)	0.2 (0.45)	0.78 (0.02)	0.6 (0.19)	0.0 (0.0)	0.33 (0.02)	0.64 (0.32)	0.2 (0.45)	0.54 (0.01)	0.66 (0.21)	0.0 (0.0)	0.53 (0.02)	0.64 (0.25)	0.2 (0.45)	0.54 (0.01)	0.66 (0.21)	0.0 (0.0)
medical	embedding_proba__9	61.05 (1.56)	0.9 (0.0)	0.0 (0.0)	55.06 (1.85)	0.9 (0.0)	0.0 (0.0)	5.99 (0.38)	0.88 (0.04)	0.0 (0.0)	0.5 (0.02)	0.47 (0.32)	0.0 (0.0)	0.39 (0.02)	0.46 (0.26)	0.0 (0.0)	0.66 (0.02)	0.46 (0.23)	0.0 (0.0)	0.53 (0.02)	0.54 (0.18)	0.0 (0.0)	0.6 (0.02)	0.4 (0.24)	0.0 (0.0)	0.31 (0.02)	0.54 (0.34)	0.2 (0.45)	0.5 (0.02)	0.46 (0.23)	0.0 (0.0)	0.51 (0.02)	0.5 (0.23)	0.0 (0.0)	0.49 (0.02)	0.5 (0.23)	0.0 (0.0)	0.55 (0.04)	0.34 (0.25)	0.0 (0.0)	0.88 (0.02)	0.36 (0.21)	0.0 (0.0)	0.56 (0.01)	0.58 (0.11)	0.0 (0.0)	0.75 (0.03)	0.3 (0.2)	0.0 (0.0)	0.32 (0.02)	0.54 (0.3)	0.2 (0.45)	0.53 (0.02)	0.5 (0.25)	0.0 (0.0)	0.52 (0.02)	0.5 (0.2)	0.0 (0.0)	0.53 (0.02)	0.5 (0.25)	0.0 (0.0)
scene	embedding_proba__1	34.25 (1.65)	0.5 (0.0)	0.0 (0.0)	33.16 (1.61)	0.5 (0.0)	0.0 (0.0)	1.09 (0.1)	0.5 (0.0)	0.0 (0.0)	0.58 (0.02)	0.5 (0.0)	0.0 (0.0)	0.71 (0.02)	0.6 (0.22)	0.2 (0.45)	0.71 (0.02)	0.6 (0.22)	0.2 (0.45)	0.61 (0.02)	0.5 (0.0)	0.0 (0.0)	0.7 (0.02)	0.6 (0.22)	0.2 (0.45)	0.57 (0.02)	0.6 (0.22)	0.2 (0.45)	0.55 (0.03)	0.6 (0.22)	0.2 (0.45)	0.6 (0.02)	0.5 (0.0)	0.0 (0.0)	0.55 (0.03)	0.6 (0.22)	0.2 (0.45)	0.9 (0.02)	0.9 (0.22)	0.8 (0.45)	0.9 (0.02)	0.9 (0.22)	0.8 (0.45)	0.62 (0.02)	0.5 (0.0)	0.0 (0.0)	0.89 (0.02)	0.9 (0.22)	0.8 (0.45)	0.6 (0.03)	0.5 (0.0)	0.0 (0.0)	0.58 (0.03)	0.5 (0.0)	0.0 (0.0)	0.6 (0.02)	0.5 (0.0)	0.0 (0.0)	0.58 (0.03)	0.5 (0.0)	0.0 (0.0)
scene	embedding_proba__2	62.24 (3.4)	1.0 (0.0)	1.0 (0.0)	60.42 (3.48)	1.0 (0.0)	1.0 (0.0)	1.82 (0.09)	1.0 (0.0)	1.0 (0.0)	0.63 (0.03)	1.0 (0.0)	1.0 (0.0)	0.74 (0.02)	0.9 (0.22)	0.8 (0.45)	0.73 (0.02)	0.9 (0.22)	0.8 (0.45)	0.66 (0.02)	1.0 (0.0)	1.0 (0.0)	0.73 (0.02)	0.9 (0.22)	0.8 (0.45)	0.6 (0.02)	0.9 (0.22)	0.8 (0.45)	0.58 (0.02)	0.9 (0.22)	0.8 (0.45)	0.65 (0.02)	1.0 (0.0)	1.0 (0.0)	0.59 (0.02)	0.9 (0.22)	0.8 (0.45)	0.87 (0.02)	0.6 (0.22)	0.2 (0.45)	0.87 (0.02)	0.6 (0.22)	0.2 (0.45)	0.68 (0.02)	1.0 (0.0)	1.0 (0.0)	0.86 (0.02)	0.6 (0.22)	0.2 (0.45)	0.65 (0.02)	1.0 (0.0)	1.0 (0.0)	0.63 (0.02)	1.0 (0.0)	1.0 (0.0)	0.65 (0.02)	1.0 (0.0)	1.0 (0.0)	0.63 (0.02)	1.0 (0.0)	1.0 (0.0)
