dataset	estimator	fit_score_time	fit_score_time_rank	fit_score_time_victories	fit_time	fit_time_rank	fit_time_victories	score_time	score_time_rank	score_time_victories	test_accuracy	test_accuracy_rank	test_accuracy_victories	test_f1_macro	test_f1_macro_rank	test_f1_macro_victories	test_f1_micro	test_f1_micro_rank	test_f1_micro_victories	test_f1_samples	test_f1_samples_rank	test_f1_samples_victories	test_f1_weighted	test_f1_weighted_rank	test_f1_weighted_victories	test_jaccard_macro	test_jaccard_macro_rank	test_jaccard_macro_victories	test_jaccard_micro	test_jaccard_micro_rank	test_jaccard_micro_victories	test_jaccard_samples	test_jaccard_samples_rank	test_jaccard_samples_victories	test_jaccard_weighted	test_jaccard_weighted_rank	test_jaccard_weighted_victories	test_precision_macro	test_precision_macro_rank	test_precision_macro_victories	test_precision_micro	test_precision_micro_rank	test_precision_micro_victories	test_precision_samples	test_precision_samples_rank	test_precision_samples_victories	test_precision_weighted	test_precision_weighted_rank	test_precision_weighted_victories	test_recall_macro	test_recall_macro_rank	test_recall_macro_victories	test_recall_micro	test_recall_micro_rank	test_recall_micro_victories	test_recall_samples	test_recall_samples_rank	test_recall_samples_victories	test_recall_weighted	test_recall_weighted_rank	test_recall_weighted_victories
rcv1subset5	embedding_weak	2616.87 (30.42)	0.95 (0.11)	0.8 (0.45)	2226.48 (39.26)	0.95 (0.11)	0.8 (0.45)	390.39 (12.22)	0.9 (0.14)	0.6 (0.55)	0.06 (0.01)	0.45 (0.11)	0.0 (0.0)	0.04 (0.01)	0.5 (0.0)	0.0 (0.0)	0.09 (0.01)	0.5 (0.0)	0.0 (0.0)	0.07 (0.01)	0.5 (0.0)	0.0 (0.0)	0.09 (0.01)	0.5 (0.0)	0.0 (0.0)	0.02 (0.0)	0.5 (0.0)	0.0 (0.0)	0.05 (0.0)	0.5 (0.0)	0.0 (0.0)	0.07 (0.01)	0.5 (0.0)	0.0 (0.0)	0.05 (0.0)	0.5 (0.0)	0.0 (0.0)	0.18 (0.02)	0.8 (0.21)	0.4 (0.55)	0.69 (0.08)	0.85 (0.14)	0.4 (0.55)	0.08 (0.01)	0.5 (0.0)	0.0 (0.0)	0.45 (0.04)	0.85 (0.22)	0.6 (0.55)	0.02 (0.0)	0.5 (0.0)	0.0 (0.0)	0.05 (0.0)	0.5 (0.0)	0.0 (0.0)	0.07 (0.01)	0.5 (0.0)	0.0 (0.0)	0.05 (0.0)	0.5 (0.0)	0.0 (0.0)
rcv1subset5	proba	109.39 (4.61)	0.25 (0.0)	0.0 (0.0)	95.48 (5.84)	0.25 (0.0)	0.0 (0.0)	13.91 (1.3)	0.45 (0.11)	0.0 (0.0)	0.1 (0.01)	0.9 (0.14)	0.6 (0.55)	0.05 (0.0)	0.75 (0.0)	0.0 (0.0)	0.24 (0.01)	1.0 (0.0)	1.0 (0.0)	0.21 (0.01)	0.95 (0.11)	0.8 (0.45)	0.2 (0.01)	0.75 (0.0)	0.0 (0.0)	0.03 (0.0)	0.75 (0.0)	0.0 (0.0)	0.14 (0.0)	1.0 (0.0)	1.0 (0.0)	0.18 (0.01)	0.95 (0.11)	0.8 (0.45)	0.12 (0.0)	0.75 (0.0)	0.0 (0.0)	0.17 (0.03)	0.6 (0.29)	0.2 (0.45)	0.59 (0.02)	0.5 (0.0)	0.0 (0.0)	0.32 (0.01)	1.0 (0.0)	1.0 (0.0)	0.39 (0.03)	0.55 (0.33)	0.2 (0.45)	0.04 (0.0)	0.75 (0.0)	0.0 (0.0)	0.15 (0.0)	0.75 (0.0)	0.0 (0.0)	0.18 (0.01)	0.75 (0.0)	0.0 (0.0)	0.15 (0.0)	0.75 (0.0)	0.0 (0.0)
rcv1subset5	proba_weak	322.24 (40.36)	0.5 (0.0)	0.0 (0.0)	309.41 (40.59)	0.5 (0.0)	0.0 (0.0)	12.83 (0.42)	0.3 (0.11)	0.0 (0.0)	0.1 (0.01)	0.85 (0.14)	0.4 (0.55)	0.11 (0.01)	1.0 (0.0)	1.0 (0.0)	0.17 (0.01)	0.75 (0.0)	0.0 (0.0)	0.2 (0.01)	0.8 (0.11)	0.2 (0.45)	0.24 (0.01)	1.0 (0.0)	1.0 (0.0)	0.07 (0.01)	1.0 (0.0)	1.0 (0.0)	0.09 (0.01)	0.75 (0.0)	0.0 (0.0)	0.17 (0.01)	0.8 (0.11)	0.2 (0.45)	0.15 (0.01)	1.0 (0.0)	1.0 (0.0)	0.18 (0.01)	0.8 (0.21)	0.4 (0.55)	0.14 (0.01)	0.25 (0.0)	0.0 (0.0)	0.26 (0.02)	0.75 (0.0)	0.0 (0.0)	0.41 (0.01)	0.6 (0.14)	0.0 (0.0)	0.2 (0.02)	1.0 (0.0)	1.0 (0.0)	0.22 (0.01)	1.0 (0.0)	1.0 (0.0)	0.23 (0.01)	1.0 (0.0)	1.0 (0.0)	0.22 (0.01)	1.0 (0.0)	1.0 (0.0)
scene	embedding	298.71 (17.79)	0.8 (0.11)	0.2 (0.45)	292.74 (18.24)	0.8 (0.11)	0.2 (0.45)	5.97 (0.55)	0.9 (0.14)	0.6 (0.55)	0.46 (0.02)	0.3 (0.11)	0.0 (0.0)	0.61 (0.02)	0.3 (0.11)	0.0 (0.0)	0.62 (0.02)	0.3 (0.11)	0.0 (0.0)	0.49 (0.02)	0.3 (0.11)	0.0 (0.0)	0.59 (0.02)	0.3 (0.11)	0.0 (0.0)	0.47 (0.01)	0.3 (0.11)	0.0 (0.0)	0.45 (0.02)	0.3 (0.11)	0.0 (0.0)	0.48 (0.02)	0.3 (0.11)	0.0 (0.0)	0.45 (0.02)	0.3 (0.11)	0.0 (0.0)	0.92 (0.02)	0.95 (0.11)	0.8 (0.45)	0.93 (0.02)	1.0 (0.0)	1.0 (0.0)	0.5 (0.02)	0.3 (0.11)	0.0 (0.0)	0.91 (0.02)	0.9 (0.22)	0.8 (0.45)	0.48 (0.02)	0.3 (0.11)	0.0 (0.0)	0.46 (0.02)	0.3 (0.11)	0.0 (0.0)	0.48 (0.02)	0.3 (0.11)	0.0 (0.0)	0.46 (0.02)	0.3 (0.11)	0.0 (0.0)
scene	embedding_weak	317.11 (16.03)	0.95 (0.11)	0.8 (0.45)	310.97 (16.72)	0.95 (0.11)	0.8 (0.45)	6.14 (0.7)	0.85 (0.14)	0.4 (0.55)	0.51 (0.03)	0.45 (0.11)	0.0 (0.0)	0.65 (0.02)	0.45 (0.11)	0.0 (0.0)	0.65 (0.02)	0.45 (0.11)	0.0 (0.0)	0.53 (0.03)	0.45 (0.11)	0.0 (0.0)	0.63 (0.02)	0.45 (0.11)	0.0 (0.0)	0.51 (0.03)	0.45 (0.11)	0.0 (0.0)	0.48 (0.03)	0.45 (0.11)	0.0 (0.0)	0.53 (0.03)	0.45 (0.11)	0.0 (0.0)	0.49 (0.03)	0.45 (0.11)	0.0 (0.0)	0.9 (0.02)	0.8 (0.11)	0.2 (0.45)	0.9 (0.02)	0.75 (0.0)	0.0 (0.0)	0.55 (0.03)	0.45 (0.11)	0.0 (0.0)	0.89 (0.02)	0.8 (0.11)	0.2 (0.45)	0.53 (0.03)	0.45 (0.11)	0.0 (0.0)	0.51 (0.03)	0.45 (0.11)	0.0 (0.0)	0.53 (0.03)	0.45 (0.11)	0.0 (0.0)	0.51 (0.03)	0.45 (0.11)	0.0 (0.0)
scene	proba	10.82 (0.25)	0.25 (0.0)	0.0 (0.0)	8.9 (0.16)	0.25 (0.0)	0.0 (0.0)	1.93 (0.11)	0.4 (0.14)	0.0 (0.0)	0.69 (0.02)	0.9 (0.14)	0.6 (0.55)	0.77 (0.02)	0.85 (0.14)	0.4 (0.55)	0.77 (0.02)	0.85 (0.14)	0.4 (0.55)	0.73 (0.03)	0.9 (0.14)	0.6 (0.55)	0.76 (0.02)	0.85 (0.14)	0.4 (0.55)	0.64 (0.03)	0.85 (0.14)	0.4 (0.55)	0.62 (0.03)	0.85 (0.14)	0.4 (0.55)	0.72 (0.03)	0.9 (0.14)	0.6 (0.55)	0.63 (0.03)	0.85 (0.14)	0.4 (0.55)	0.85 (0.03)	0.35 (0.14)	0.0 (0.0)	0.84 (0.03)	0.35 (0.14)	0.0 (0.0)	0.74 (0.03)	0.9 (0.14)	0.6 (0.55)	0.84 (0.03)	0.35 (0.14)	0.0 (0.0)	0.71 (0.02)	0.9 (0.14)	0.6 (0.55)	0.7 (0.02)	0.9 (0.14)	0.6 (0.55)	0.72 (0.03)	0.9 (0.14)	0.6 (0.55)	0.7 (0.02)	0.9 (0.14)	0.6 (0.55)
scene	proba_weak	17.36 (0.26)	0.5 (0.0)	0.0 (0.0)	15.47 (0.23)	0.5 (0.0)	0.0 (0.0)	1.89 (0.13)	0.35 (0.14)	0.0 (0.0)	0.7 (0.03)	0.85 (0.14)	0.4 (0.55)	0.78 (0.03)	0.9 (0.14)	0.6 (0.55)	0.78 (0.03)	0.9 (0.14)	0.6 (0.55)	0.74 (0.03)	0.85 (0.14)	0.4 (0.55)	0.77 (0.03)	0.9 (0.14)	0.6 (0.55)	0.66 (0.03)	0.9 (0.14)	0.6 (0.55)	0.63 (0.04)	0.9 (0.14)	0.6 (0.55)	0.73 (0.03)	0.85 (0.14)	0.4 (0.55)	0.64 (0.03)	0.9 (0.14)	0.6 (0.55)	0.85 (0.03)	0.4 (0.14)	0.0 (0.0)	0.84 (0.03)	0.4 (0.14)	0.0 (0.0)	0.75 (0.03)	0.85 (0.14)	0.4 (0.55)	0.84 (0.03)	0.45 (0.21)	0.0 (0.0)	0.73 (0.03)	0.85 (0.14)	0.4 (0.55)	0.72 (0.03)	0.85 (0.14)	0.4 (0.55)	0.74 (0.03)	0.85 (0.14)	0.4 (0.55)	0.72 (0.03)	0.85 (0.14)	0.4 (0.55)
yeast	embedding	338.86 (8.74)	0.85 (0.14)	0.4 (0.55)	332.26 (9.42)	0.85 (0.14)	0.4 (0.55)	6.61 (0.81)	0.9 (0.14)	0.6 (0.55)	0.13 (0.01)	0.4 (0.14)	0.0 (0.0)	0.29 (0.01)	0.3 (0.11)	0.0 (0.0)	0.62 (0.0)	0.4 (0.14)	0.0 (0.0)	0.59 (0.01)	0.45 (0.21)	0.0 (0.0)	0.51 (0.01)	0.3 (0.11)	0.0 (0.0)	0.22 (0.01)	0.25 (0.0)	0.0 (0.0)	0.44 (0.0)	0.4 (0.14)	0.0 (0.0)	0.48 (0.0)	0.4 (0.14)	0.0 (0.0)	0.41 (0.01)	0.4 (0.14)	0.0 (0.0)	0.36 (0.01)	0.35 (0.14)	0.0 (0.0)	0.69 (0.02)	0.65 (0.34)	0.4 (0.55)	0.69 (0.02)	0.7 (0.33)	0.4 (0.55)	0.56 (0.01)	0.35 (0.14)	0.0 (0.0)	0.3 (0.01)	0.4 (0.14)	0.0 (0.0)	0.56 (0.01)	0.4 (0.14)	0.0 (0.0)	0.56 (0.01)	0.4 (0.14)	0.0 (0.0)	0.56 (0.01)	0.4 (0.14)	0.0 (0.0)
yeast	embedding_weak	339.6 (7.01)	0.9 (0.14)	0.6 (0.55)	333.08 (7.34)	0.9 (0.14)	0.6 (0.55)	6.52 (0.52)	0.85 (0.14)	0.4 (0.55)	0.13 (0.01)	0.4 (0.22)	0.0 (0.0)	0.3 (0.0)	0.45 (0.11)	0.0 (0.0)	0.62 (0.01)	0.45 (0.21)	0.0 (0.0)	0.6 (0.01)	0.55 (0.21)	0.0 (0.0)	0.52 (0.01)	0.45 (0.11)	0.0 (0.0)	0.23 (0.0)	0.5 (0.0)	0.0 (0.0)	0.45 (0.01)	0.45 (0.21)	0.0 (0.0)	0.49 (0.01)	0.5 (0.25)	0.0 (0.0)	0.41 (0.01)	0.35 (0.14)	0.0 (0.0)	0.37 (0.01)	0.4 (0.14)	0.0 (0.0)	0.7 (0.02)	0.75 (0.31)	0.4 (0.55)	0.71 (0.02)	0.85 (0.22)	0.6 (0.55)	0.57 (0.01)	0.4 (0.14)	0.0 (0.0)	0.3 (0.01)	0.35 (0.14)	0.0 (0.0)	0.55 (0.01)	0.35 (0.14)	0.0 (0.0)	0.55 (0.01)	0.35 (0.14)	0.0 (0.0)	0.55 (0.01)	0.35 (0.14)	0.0 (0.0)
yeast	proba	10.83 (0.19)	0.25 (0.0)	0.0 (0.0)	8.74 (0.09)	0.25 (0.0)	0.0 (0.0)	2.1 (0.11)	0.5 (0.0)	0.0 (0.0)	0.17 (0.01)	0.95 (0.11)	0.8 (0.45)	0.41 (0.01)	0.8 (0.11)	0.2 (0.45)	0.64 (0.01)	0.8 (0.11)	0.2 (0.45)	0.61 (0.02)	0.65 (0.29)	0.2 (0.45)	0.6 (0.01)	0.8 (0.11)	0.2 (0.45)	0.3 (0.01)	0.8 (0.11)	0.2 (0.45)	0.47 (0.01)	0.8 (0.11)	0.2 (0.45)	0.5 (0.01)	0.75 (0.18)	0.2 (0.45)	0.46 (0.01)	0.8 (0.11)	0.2 (0.45)	0.5 (0.05)	0.85 (0.14)	0.4 (0.55)	0.68 (0.01)	0.75 (0.18)	0.2 (0.45)	0.68 (0.02)	0.6 (0.14)	0.0 (0.0)	0.65 (0.03)	0.85 (0.14)	0.4 (0.55)	0.39 (0.02)	0.8 (0.11)	0.2 (0.45)	0.6 (0.03)	0.8 (0.11)	0.2 (0.45)	0.6 (0.03)	0.8 (0.11)	0.2 (0.45)	0.6 (0.03)	0.8 (0.11)	0.2 (0.45)
yeast	proba_weak	19.35 (0.25)	0.5 (0.0)	0.0 (0.0)	17.55 (0.31)	0.5 (0.0)	0.0 (0.0)	1.8 (0.11)	0.25 (0.0)	0.0 (0.0)	0.16 (0.03)	0.75 (0.18)	0.2 (0.45)	0.43 (0.01)	0.95 (0.11)	0.8 (0.45)	0.64 (0.02)	0.85 (0.34)	0.8 (0.45)	0.62 (0.02)	0.85 (0.34)	0.8 (0.45)	0.61 (0.02)	0.95 (0.11)	0.8 (0.45)	0.31 (0.01)	0.95 (0.11)	0.8 (0.45)	0.48 (0.02)	0.85 (0.34)	0.8 (0.45)	0.51 (0.02)	0.85 (0.34)	0.8 (0.45)	0.47 (0.02)	0.95 (0.11)	0.8 (0.45)	0.52 (0.02)	0.9 (0.14)	0.6 (0.55)	0.66 (0.03)	0.35 (0.14)	0.0 (0.0)	0.66 (0.02)	0.35 (0.22)	0.0 (0.0)	0.65 (0.01)	0.9 (0.14)	0.6 (0.55)	0.42 (0.02)	0.95 (0.11)	0.8 (0.45)	0.63 (0.02)	0.95 (0.11)	0.8 (0.45)	0.63 (0.02)	0.95 (0.11)	0.8 (0.45)	0.63 (0.02)	0.95 (0.11)	0.8 (0.45)
